Sector;Tipo de transacción;País;Compañía 1;Descripción;Compañía 2
Commerce & Services;M&A;Perú;dm;Asesoramiento en la adquisición de librerías;Crisol
Commerce & Services;M&A;España;San Lorenzo Alimentación;Asesoramiento en la venta de compañía de distribución alimentaria a;El Ovino de Segovia
Commerce & Services;M&A;Perú;Toyota;Asesoramiento en la venta de concesionarios;Inversor Confidencial
Commerce & Services;M&A;España;Pepe Jeans / Torreal;Asesoramiento en la venta de la participación de Torreal en Pepe Jeans;Artá Capital / L Capital
Commerce & Services;Valoración;España;El Ganso;Valoración y Business Plan – Cadena de tiendas de ropa con presencia internacional;
Commerce & Services;Valoración;España;Grupo Eulen;Valoración Escisión Negocios – Grupo empresarial de servicios de limpieza y seguridad;
Commerce & Services;Valoración;España;Rabat;Valoración y Business Plan – Compañía dedicada a la creación artesanal de joyería;
Commerce & Services;Valoración;España;UNIR;Valoración y Business Plan – Compañía líder en formación universitaria a distancia;
Commerce & Services;Due Diligence;España;Permira / PAI Partners / CVC Capital Partners;Due Diligence para la reestructuración financiera de ;Cortefiel
Commerce & Services;Due Diligence;Perú;dm;Due Diligence para la adquisición de librerías;Crisol
Commerce & Services;Due Diligence;Perú;Falabella;Due Diligence para la adquisición de la target;Maestro
Commerce & Services;Due Diligence;España;SGS;Due Diligence para la adquisición de compañía de certificación;Laserlan
Commerce & Services;Due Diligence;España;TÜV Austria;Due Diligence para la adquisición de compañía de consultoría medioambiental;Jecma
Commerce & Services;Due Diligence;España;TÜV Austria;Due Diligence para la adquisición de compañía de prevención y control ambiental;Geprecon
Commerce & Services;Due Diligence;España;Grupo Kalma;Due Diligence para la adquisición de compañía de servicios dentales;Clinisoft
Commerce & Services;Due Diligence;Perú;Prosegur;Due Diligence para la adquisición de compañía de seguridad;Target Confidencial
Commerce & Services;Valoración;España;Scalpers;Valoración y Business Plan – Compañía especializada en el diseño y comercialización de ropa;
Commerce & Services;Valoración;España;Natura;Valoración y Business Plan – Compañía de regalos y accesorios de decoración;
Commerce & Services;Valoración;España;Aurgi;Valoración y Business Plan – Red de talleres de automoción líder;
Commerce & Services;Valoración;España;Team Service Facility;Valoración – Empresa especializada en servicios de limpieza y outsourcing;
Commerce & Services;Valoración;España;Servivuelo;Valoración – Compañía de servicios de gestión de billetes aéreos para agencias de viajes;
Commerce & Services;Valoración;España;Núñez S.L.;Valoración – Compañía especializada en servicios funerarios;
